time,far_angle
0,-0.115836605
0.03333333,-0.052499485
0.06666667,-0.105138513
0.1,-0.071550007
0.13333333,-0.072143485
0.16666667,-0.064866134
0.2,-0.028708327
0.23333333,-0.005058979
0.26666667,0.003366991
0.3,0.018361876
0.33333333,0.015099523
0.36666667,0.028138267
0.4,0.066678967
0.43333333,0.064317943
0.46666667,0.09503062
0.5,0.116630001
0.53333333,0.12963199
0.56666667,0.134059502
0.6,0.133092834
0.63333333,0.143306166
0.66666667,0.143306166
0.7,0.143563323
0.73333333,0.209307222
0.76666667,0.17247356
0.8,0.200226631
0.83333333,0.236585117
0.86666667,0.221980769
0.9,0.221980769
0.93333333,0.209504592
0.96666667,0.224941265
1,0.221354705
1.03333333,0.244570833
1.06666667,0.274664964
1.1,0.274664964
1.13333333,0.30958077
1.16666667,0.288851037
1.2,0.309702945
1.23333333,0.301619046
1.26666667,0.317697892
1.3,0.325819708
1.33333333,0.309889326
1.36666667,0.3072738
1.4,0.302391382
1.43333333,0.292581111
1.46666667,0.279234457
1.5,0.287392437
1.53333333,0.291456794
1.56666667,0.285480448
1.6,0.28406262
1.63333333,0.284533704
1.66666667,0.277598233
1.7,0.271222636
1.73333333,0.265948743
1.76666667,0.256351383
1.8,0.246670709
1.83333333,0.236023679
1.86666667,0.230486924
1.9,0.223632632
1.93333333,0.212704037
1.96666667,0.200534719
2,0.194269485
2.03333333,0.18912559
2.06666667,0.184382596
2.1,0.182348816
2.13333333,0.177507922
2.16666667,0.174977791
2.2,0.167185927
2.23333333,0.162517874
2.26666667,0.162230682
2.3,0.152242383
2.33333333,0.143925449
2.36666667,0.142150669
2.4,0.135527714
2.43333333,0.126820252
2.46666667,0.119644397
2.5,0.115219776
2.53333333,0.11105201
2.56666667,0.105531083
2.6,0.101978938
2.63333333,0.100560554
2.66666667,0.092296011
2.7,0.089017313
2.73333333,0.085401967
2.76666667,0.085557051
2.8,0.076492796
2.83333333,0.074542862
2.86666667,0.07286348
2.9,0.067662122
2.93333333,0.062304577
2.96666667,0.056819508
3,0.056509116
3.03333333,0.054491456
3.06666667,0.050865178
3.1,0.049051531
3.13333333,0.043847563
3.16666667,0.042099652
3.2,0.036680788
3.23333333,0.03118255
3.26666667,0.025682425
3.3,0.020143795
3.33333333,0.014650966
3.36666667,0.007325876
3.4,0
3.43333333,-0.00551465
3.46666667,-0.012866937
3.5,-0.016482024
3.53333333,-0.023761523
3.56666667,-0.027465619
3.6,-0.038583783
3.63333333,-0.040419151
3.66666667,-0.040493507
3.7,-0.044170147
3.73333333,-0.044008265
3.76666667,-0.040345068
3.8,-0.03837238
3.83333333,-0.042176808
3.86666667,-0.03844259
3.9,-0.038513057
3.93333333,-0.036748155
3.96666667,-0.036748155
4,-0.031239833
4.03333333,-0.034976522
4.06666667,-0.036883634
4.1,-0.036951749
4.13333333,-0.033076168
4.16666667,-0.031412954
4.2,-0.033320996
4.23333333,-0.031471087
4.26666667,-0.03325945
4.3,-0.035105719
4.33333333,-0.040568136
4.36666667,-0.040568136
4.4,-0.044170147
4.43333333,-0.042566864
4.46666667,-0.038583783
4.5,-0.050050928
4.53333333,-0.050050928
4.56666667,-0.05940956
4.6,-0.06323031
4.63333333,-0.06323031
4.66666667,-0.065084852
4.7,-0.068665114
4.73333333,-0.068792579
4.76666667,-0.074075715
4.8,-0.070514863
4.83333333,-0.07946196
4.86666667,-0.084667948
4.9,-0.086499485
4.93333333,-0.088492863
4.96666667,-0.090492914
5,-0.096354968
5.03333333,-0.104099938
5.06666667,-0.111682862
5.1,-0.118840345
5.13333333,-0.115587337
5.16666667,-0.129384673
5.2,-0.136188762
5.23333333,-0.144737223
5.26666667,-0.148348578
5.3,-0.150152801
5.33333333,-0.149880403
5.36666667,-0.147543812
5.4,-0.135445531
5.43333333,-0.135199576
5.46666667,-0.137253125
5.5,-0.13643831
5.53333333,-0.136940142
5.56666667,-0.14111192
5.6,-0.146604133
5.63333333,-0.15180805
5.66666667,-0.149709396
5.7,-0.15278874
5.73333333,-0.154318776
5.76666667,-0.159448169
5.8,-0.167835238
5.83333333,-0.155277625
5.86666667,-0.154716865
5.9,-0.151556134
5.93333333,-0.147736034
5.96666667,-0.144441578
6,-0.141386068
6.03333333,-0.141897055
6.06666667,-0.137503183
6.1,-0.136188762
6.13333333,-0.134370594
6.16666667,-0.13412519
6.2,-0.135940119
6.23333333,-0.13412519
6.26666667,-0.128910772
6.3,-0.121619023
6.33333333,-0.114104784
6.36666667,-0.108231023
6.4,-0.102579852
6.43333333,-0.093647926
6.46666667,-0.086340977
6.5,-0.079315696
6.53333333,-0.074075715
6.56666667,-0.070514863
6.6,-0.065084852
6.63333333,-0.06323031
6.66666667,-0.05940956
6.7,-0.057557174
6.73333333,-0.055704394
6.76666667,-0.053951317
6.8,-0.05385123
6.83333333,-0.051901398
6.86666667,-0.053553182
6.9,-0.049866204
6.93333333,-0.047933734
6.96666667,-0.049774352
7,-0.049774352
7.03333333,-0.051709869
7.06666667,-0.051709869
7.1,-0.053553182
7.13333333,-0.053454563
7.16666667,-0.051519746
7.2,-0.051425208
7.23333333,-0.053160874
7.26666667,-0.051425208
7.3,-0.053356307
7.33333333,-0.055294132
7.36666667,-0.05539613
7.4,-0.05539613
7.43333333,-0.051709869
7.46666667,-0.055192508
7.5,-0.055091256
7.53333333,-0.051331016
7.56666667,-0.049591659
7.6,-0.047845593
7.63333333,-0.045923571
7.66666667,-0.042254247
7.7,-0.038513057
7.73333333,-0.032955098
7.76666667,-0.029295646
7.8,-0.025635409
