time,heading_angle
0,0
0.03333333,0.084901792
0.06666667,0.084901792
0.1,0.099668654
0.13333333,0.090659887
0.16666667,0.083141234
0.2,0.027020449
0.23333333,0.066568166
0.26666667,0.066568166
0.3,0.021273385
0.33333333,0.01960533
0.36666667,0
0.4,0
0.43333333,0
0.46666667,0
0.5,0
0.53333333,0
0.56666667,0
0.6,0
0.63333333,0
0.66666667,0
0.7,0
0.73333333,0
0.76666667,-0.027770645
0.8,0
0.83333333,0
0.86666667,-0.027770645
0.9,-0.027770645
0.93333333,-0.027770645
0.96666667,-0.027770645
1,-0.027770645
1.03333333,-0.027770645
1.06666667,0
1.1,0
1.13333333,0
1.16666667,-0.028563734
1.2,0
1.23333333,0
1.26666667,0
1.3,0
1.33333333,0.023251622
1.36666667,0.071307461
1.4,0.071307461
1.43333333,0.076771885
1.46666667,0.076771885
1.5,0.076771885
1.53333333,0.099668637
1.56666667,0.110657214
1.6,0.099668654
1.63333333,0.124355
1.66666667,0.124355
1.7,0.141897051
1.73333333,0.165148678
1.76666667,0.165148661
1.8,0.165148678
1.83333333,0.174672208
1.86666667,0.197395564
1.9,0.207496218
1.93333333,0.207496218
1.96666667,0.244978679
2,0.244978679
2.03333333,0.244978679
2.06666667,0.244978679
2.1,0.244978679
2.13333333,0.278299651
2.16666667,0.291456749
2.2,0.278299651
2.23333333,0.270946813
2.26666667,0.291456749
2.3,0.321750539
2.33333333,0.321750506
2.36666667,0.321750539
2.4,0.321750539
2.43333333,0.321750539
2.46666667,0.321750539
2.5,0.321750573
2.53333333,0.358770676
2.56666667,0.348771005
2.6,0.358770676
2.63333333,0.358770676
2.66666667,0.346538843
2.7,0.348770972
2.73333333,0.367173814
2.76666667,0.367173814
2.8,0.380506398
2.83333333,0.380506398
2.86666667,0.367173848
2.9,0.367173848
2.93333333,0.367173848
2.96666667,0.367173848
3,0.367173848
3.03333333,0.367173848
3.06666667,0.367173848
3.1,0.367173848
3.13333333,0.367173848
3.16666667,0.367173848
3.2,0.367173848
3.23333333,0.367173848
3.26666667,0.367173848
3.3,0.367173848
3.33333333,0.367173848
3.36666667,0.367173848
3.4,0.367173848
3.43333333,0.367173848
3.46666667,0.367173848
3.5,0.367173848
3.53333333,0.367173848
3.56666667,0.367173848
3.6,0.367173848
3.63333333,0.367173848
3.66666667,0.367173848
3.7,0.367173848
3.73333333,0.367173848
