time,near_angle
0,1.120753321
0.03333333,1.120753321
0.06666667,1.120753321
0.1,1.118092193
0.13333333,1.112681165
0.16666667,1.095704296
0.2,1.091277035
0.23333333,1.07909109
0.26666667,1.071182225
0.3,1.059711133
0.33333333,1.044239712
0.36666667,1.037088135
0.4,1.027898517
0.43333333,1.010621589
0.46666667,1.004642483
0.5,0.990240394
0.53333333,0.970746113
0.56666667,0.950074028
0.6,0.925613134
0.63333333,0.904827089
0.66666667,0.904827089
0.7,0.841445014
0.73333333,0.828849059
0.76666667,0.781889406
0.8,0.741630512
0.83333333,0.70631814
0.86666667,0.655695626
0.9,0.546566964
0.93333333,0.546566964
0.96666667,0.493941369
1,0.455220842
1.03333333,0.391310278
1.06666667,0.342580874
1.1,0.342580874
1.13333333,0.259731691
1.16666667,0.22014933
1.2,0.1798535
1.23333333,0.138958767
1.26666667,0.118325783
1.3,0.076771891
1.33333333,0.034950797
1.36666667,0.020975944
1.4,-0.020975944
1.43333333,-0.069816412
1.46666667,-0.118325783
1.5,-0.138958767
1.53333333,-0.159473369
1.56666667,-0.193357897
1.6,-0.22014933
1.63333333,-0.253188659
1.66666667,-0.27922302
1.7,-0.311224627
1.73333333,-0.336363293
1.76666667,-0.336363293
1.8,-0.354933391
1.83333333,-0.367173834
1.86666667,-0.379300105
1.9,-0.409104061
1.93333333,-0.426627493
1.96666667,-0.438157381
2,-0.426627493
2.03333333,-0.420816676
2.06666667,-0.414975478
2.1,-0.403202599
2.13333333,-0.403202599
2.16666667,-0.403202599
2.2,-0.397271273
2.23333333,-0.379300105
2.26666667,-0.367173834
2.3,-0.367173834
2.33333333,-0.342580874
2.36666667,-0.33011856
2.4,-0.323846987
2.43333333,-0.317548898
2.46666667,-0.298498932
2.5,-0.2727493
2.53333333,-0.259731691
2.56666667,-0.246623398
2.6,-0.22014933
2.63333333,-0.200083725
2.66666667,-0.193357897
2.7,-0.1798535
2.73333333,-0.166282464
2.76666667,-0.145810929
2.8,-0.145810929
2.83333333,-0.111424681
2.86666667,-0.083719936
2.9,-0.069816412
2.93333333,-0.048912006
2.96666667,-0.013985102
3,0.013985102
3.03333333,0.041933446
3.06666667,0.055885802
3.1,0.076771891
3.13333333,0.090659887
3.16666667,0.111424681
3.2,0.132093447
3.23333333,0.152649328
3.26666667,0.166282464
3.3,0.1798535
3.33333333,0.200083725
3.36666667,0.206791257
3.4,0.200083725
3.43333333,0.206791257
3.46666667,0.206791257
3.5,0.206791257
3.53333333,0.206791257
3.56666667,0.193357897
3.6,0.193357897
3.63333333,0.173076031
3.66666667,0.166282464
3.7,0.145810929
3.73333333,0.132093447
3.76666667,0.118325783
3.8,0.104512905
3.83333333,0.097591093
3.86666667,0.097591093
3.9,0.090659887
3.93333333,0.083719936
3.96666667,0.083719936
4,0.097591093
4.03333333,0.090659887
4.06666667,0.090659887
4.1,0.118325783
4.13333333,0.12521558
4.16666667,0.145810929
4.2,0.159473369
4.23333333,0.166282464
4.26666667,0.173076031
4.3,0.1798535
4.33333333,0.213479964
4.36666667,0.246623398
4.4,0.259731691
4.43333333,0.27922302
4.46666667,0.298498932
4.5,0.317548898
4.53333333,0.342580874
4.56666667,0.354933391
4.6,0.373251365
4.63333333,0.391310278
4.66666667,0.409104061
4.7,0.426627493
4.73333333,0.438157381
4.76666667,0.449564033
4.8,0.455220842
4.83333333,0.47200396
4.86666667,0.493941369
4.9,0.499346722
4.93333333,0.515372547
4.96666667,0.515372547
5,0.5258977
5.03333333,0.536295812
5.06666667,0.546566964
5.1,0.566729218
5.13333333,0.571690837
5.16666667,0.586387096
5.2,0.586387096
5.23333333,0.581519712
5.26666667,0.581519712
5.3,0.576620981
5.33333333,0.591223204
5.36666667,0.610256481
5.4,0.619587673
5.43333333,0.628796286
5.46666667,0.633354896
5.5,0.642381288
5.53333333,0.646849311
5.56666667,0.660074177
5.6,0.677294128
5.63333333,0.698167618
5.66666667,0.714356868
5.7,0.726208124
5.73333333,0.726208124
5.76666667,0.730104032
5.8,0.730104032
5.83333333,0.749182121
5.86666667,0.767606447
5.9,0.781889406
5.93333333,0.792342496
5.96666667,0.792342496
6,0.795778413
6.03333333,0.799190392
6.06666667,0.802578603
6.1,0.812602335
6.13333333,0.822418279
6.16666667,0.832030998
6.2,0.835190859
6.23333333,0.835190859
6.26666667,0.835190859
6.3,0.832030998
6.33333333,0.832030998
6.36666667,0.835190859
6.4,0.841445014
6.43333333,0.84453964
6.46666667,0.850664809
6.5,0.84761285
6.53333333,0.853695681
6.56666667,0.859694812
6.6,0.865611536
6.63333333,0.874334905
6.66666667,0.885689481
6.7,0.896737048
6.73333333,0.899452111
6.76666667,0.902148742
6.8,0.904827089
6.83333333,0.912753899
6.86666667,0.917949696
6.9,0.925613134
6.93333333,0.930636893
6.96666667,0.933123628
7,0.935593783
7.03333333,0.935593783
7.06666667,0.94048489
7.1,0.935593783
7.13333333,0.94048489
7.16666667,0.942906111
7.2,0.942906111
7.23333333,0.938047492
7.26666667,0.933123628
7.3,0.928133441
7.33333333,0.925613134
7.36666667,0.917949696
7.4,0.915360576
7.43333333,0.910129522
7.46666667,0.904827089
7.5,0.894003404
7.53333333,0.885689481
7.56666667,0.87720287
7.6,0.865611536
7.63333333,0.853695681
7.66666667,0.84761285
7.7,0.84453964
7.73333333,0.835190859
7.76666667,0.825644875
7.8,0.812602335
7.83333333,0.792342496
7.86666667,0.785398163
7.9,0.785398163
7.93333333,0.778356026
7.96666667,0.771214717
8,0.767606447
8.03333333,0.756629125
8.06666667,0.749182121
8.1,0.741630512
8.13333333,0.726208124
8.16666667,0.730104032
8.2,0.72228507
8.23333333,0.718334705
8.26666667,0.70631814
8.3,0.698167618
8.33333333,0.677294128
8.36666667,0.660074177
8.4,0.664423166
8.43333333,0.660074177
8.46666667,0.646849311
8.5,0.63788319
8.53333333,0.624207249
8.56666667,0.619587673
8.6,0.614937451
8.63333333,0.605544664
8.66666667,0.591223204
8.7,0.586387096
8.73333333,0.571690837
8.76666667,0.561736068
8.8,0.551654983
8.83333333,0.541447249
8.86666667,0.531112634
8.9,0.520651004
8.93333333,0.515372547
8.96666667,0.504720388
9,0.493941369
9.03333333,0.477535605
9.06666667,0.47200396
9.1,0.466440898
9.13333333,0.460846496
9.16666667,0.443876174
9.2,0.432407776
9.23333333,0.414975478
9.26666667,0.391310278
9.3,0.367173834
9.33333333,0.348771004
9.36666667,0.33011856
9.4,0.298498932
9.43333333,0.266252049
9.46666667,0.240036364
9.5,0.206791257
9.53333333,0.173076031
9.56666667,0.159473369
9.6,0.145810929
9.63333333,0.12521558
9.66666667,0.090659887
9.7,0.069816412
9.73333333,0.034950797
9.76666667,0.006992893
9.8,-0.020975944
9.83333333,-0.027964736
9.86666667,-0.041933446
9.9,-0.06285416
9.93333333,-0.076771891
9.96666667,-0.090659887
10,-0.097591093
10.03333333,-0.104512905
10.06666667,-0.097591093
10.1,-0.083719936
10.13333333,-0.083719936
10.16666667,-0.090659887
10.2,-0.083719936
10.23333333,-0.090659887
10.26666667,-0.104512905
10.3,-0.111424681
10.33333333,-0.118325783
10.36666667,-0.132093447
10.4,-0.152649328
10.43333333,-0.159473369
10.46666667,-0.159473369
10.5,-0.173076031
10.53333333,-0.186614306
10.56666667,-0.186614306
10.6,-0.186614306
10.63333333,-0.193357897
10.66666667,-0.206791257
10.7,-0.233428022
10.73333333,-0.253188659
10.76666667,-0.27922302
10.8,-0.292098231
10.83333333,-0.298498932
10.86666667,-0.317548898
10.9,-0.336363293
10.93333333,-0.354933391
10.96666667,-0.367173834
11,-0.379300105
11.03333333,-0.385319818
11.06666667,-0.385319818
11.1,-0.379300105
11.13333333,-0.391310278
11.16666667,-0.397271273
11.2,-0.409104061
11.23333333,-0.420816676
11.26666667,-0.426627493
11.3,-0.420816676
11.33333333,-0.432407776
11.36666667,-0.455220842
11.4,-0.460846496
11.43333333,-0.47200396
11.46666667,-0.488504367
11.5,-0.493941369
11.53333333,-0.493941369
11.56666667,-0.488504367
11.6,-0.493941369
11.63333333,-0.493941369
11.66666667,-0.499346722
11.7,-0.499346722
11.73333333,-0.504720388
11.76666667,-0.499346722
11.8,-0.504720388
11.83333333,-0.510062337
11.86666667,-0.515372547
11.9,-0.520651004
11.93333333,-0.531112634
11.96666667,-0.546566964
12,-0.546566964
12.03333333,-0.541447249
12.06666667,-0.536295812
12.1,-0.536295812
12.13333333,-0.551654983
12.16666667,-0.551654983
12.2,-0.561736068
12.23333333,-0.576620981
12.26666667,-0.581519712
12.3,-0.581519712
12.33333333,-0.586387096
12.36666667,-0.596028113
12.4,-0.600801905
12.43333333,-0.610256481
12.46666667,-0.610256481
12.5,-0.610256481
12.53333333,-0.605544664
12.56666667,-0.614937451
12.6,-0.614937451
12.63333333,-0.614937451
12.66666667,-0.619587673
12.7,-0.624207249
12.73333333,-0.619587673
12.76666667,-0.619587673
12.8,-0.624207249
12.83333333,-0.628796286
12.86666667,-0.614937451
12.9,-0.619587673
12.93333333,-0.614937451
12.96666667,-0.605544664
13,-0.591223204
13.03333333,-0.581519712
13.06666667,-0.571690837
13.1,-0.566729218
13.13333333,-0.561736068
13.16666667,-0.561736068
13.2,-0.561736068
13.23333333,-0.551654983
13.26666667,-0.546566964
13.3,-0.546566964
13.33333333,-0.541447249
13.36666667,-0.541447249
13.4,-0.541447249
13.43333333,-0.546566964
13.46666667,-0.546566964
13.5,-0.536295812
13.53333333,-0.541447249
13.56666667,-0.536295812
13.6,-0.536295812
13.63333333,-0.541447249
13.66666667,-0.546566964
13.7,-0.556711338
13.73333333,-0.551654983
13.76666667,-0.551654983
13.8,-0.561736068
13.83333333,-0.561736068
13.86666667,-0.561736068
13.9,-0.566729218
13.93333333,-0.581519712
13.96666667,-0.571690837
14,-0.571690837
14.03333333,-0.566729218
14.06666667,-0.561736068
14.1,-0.561736068
14.13333333,-0.556711338
14.16666667,-0.551654983
14.2,-0.556711338
14.23333333,-0.546566964
14.26666667,-0.551654983
14.3,-0.551654983
14.33333333,-0.561736068
14.36666667,-0.546566964
14.4,-0.546566964
14.43333333,-0.551654983
14.46666667,-0.551654983
